category,finding_id,field,old_value,new_value,reason
evidence-restoration,SCALEAI-2026-06b-BIO1,Sources Checked (channel A),,"Channel A battery run 2026-08-15. Items (2)+(3) executed programmatically across 23 cached company system cards and deployment-safety documents (OpenAI 15, Anthropic 7, Meta 1), searching the evaluator name: 5 mention(s) found, each inspected and found incidental (benchmark or dataset usage, table-of-contents text, or an evaluation predating this finding) - none responsive to this finding under the §8 causal-attribution test. Items (1)+(4)+(5) executed 2026-08-15: Searched anthropic.com, alignment.anthropic.com and red.anthropic.com for Scale AI, J2 and Claude Code refusal rates. Located only Anthropic's own Constitutional Classifiers programme, which predates these findings and does not reference them -> excluded as standing policy under §8. No admissible company primary source located. Battery exhausted -> Action Level = None.",Restore Tier B evidence for archival/descriptive use; excluded from Tier-A headline analysis
evidence-restoration,SCALEAI-2026-06b-BIO1,Channel B Evidence,,"Channel B battery 2026-08-16, all three jurisdictions. Search terms: evaluator 'Scale AI', report 'DrugDiscoveryBench: Can Coding Agents Assist Early-Stage Drug Discover', report ID SCALEAI-2026-06b, and the finding's specific claim. (1) UK -- Hansard (Commons + Lords), select-committee reports, gov.uk ministerial statements, NCSC/ICO/FCA regulator advisories -- no official source explicitly referencing the finding, report or result. (2) US -- Congress.gov, govinfo, Federal Register, Commerce/NIST/CAISI announcements, committee records -- no official source explicitly referencing the finding, report or result. (3) EU/other -- European Commission and AI Office statements, national regulator publications in the finding's jurisdiction -- no official source explicitly referencing the finding, report or result. Admissible = official government sources only. Stop condition: battery exhausted -> Policy Level = No policy uptake identified.",Restore Tier B evidence for archival/descriptive use; excluded from Tier-A headline analysis
note-update,SCALEAI-2026-06b-BIO1,Notes,"PUBLICATION DATE UNVERIFIED: worklist field empty; 2026-04 inferred from an April 29, 2026 date in the PDF and the companion blog (2026-06-04).  TODO severity ensemble + Channel A/B/C.

[CHANNEL B SEARCH LOG — moved from evidence 2026-08-15]
Channel B battery run 2026-08-15. UK: Hansard API (Commons + Lords), exact-phrase verified against ContributionTextFull; gov.uk and NCSC site-restricted search. US: Federal Register API (exact phrase), congress.gov / nist.gov / commerce.gov / whitehouse.gov site-restricted search (Congress.gov API requires a key not held). International: International AI Safety Report 2026 (3 Feb 2026, backed by 30+ governments) full-text checked for this evaluator and finding. No official government source references this finding. Recorded invalidations: Federal Register exact-phrase hits for 'METR' (Medicare rules), 'Scale AI' ('Content at Scale AI', a company name) and 'RAND Europe' (air-quality and fuel-economy rules) are substring or unrelated-entity matches, not policy uptake. Hansard hits for 'METR' (marginal effective tax rate) and 'Scale AI' ('scale AI capabilities') are likewise not references to the evaluator.

[CHANNEL C SEARCH 2026-08-15]
Exact report-title, evaluator + finding, media/news, academic-discovery, and public-discussion searches. No qualifying independent, finding-specific media, academic-citation count, or notable public discussion located within the finding-to-cutoff window; source paper and developer/evaluator self-publicity excluded.

[ACADEMIC CITATION AUDIT 2026-08-15]
Exact-title Google Scholar search completed. Matched “DrugDiscoveryBench: Can Coding Agents Assist Early-Stage Drug Discovery?” (exact-title record); recorded 0 citations. Similar-title records and duplicate citation-only clusters were not added.  [CHANNEL B LOG BACKFILLED 2026-08-16] Existing 'No policy uptake identified' confirmed by a three-jurisdiction sweep; see Channel B Evidence.  [ID FIX 2026-08-16] Report ID 'SCALEAI-2026-06b' -> 'SCALEAI-2026-06-DRUGDISCOVERY': the same report carried two IDs across the merged halves (identical title and publication date, different hosting URL). Unified under one ID per §6. Finding ID unchanged.  [RE-TIER 2026-08-16] Tier A -> B. (1) empirical: YES. (2) named models: YES (Claude Opus 4.8, Claude Sonnet 4.6). (3) concerning result with a reasonable company response: NO - the finding is OVER-refusal on routine analyses of already-published data, which Scale AI itself characterises as 'a capability gap rather than a safety boundary'. No dangerous threshold is crossed, so §4 condition (3) excludes it. -> Tier B (was Tier A). This was the v11 side of the cross-half tier conflict. Tier-A-only codings cleared and preserved here: Action Level=None; Attribution=Not applicable; Policy Level=No policy uptake identified; Proportionality=Accountability gap (no action).

[SCHEMA CLEANUP 2026-08-16] Tier B Channel A/B and proportionality fields cleared from the active schema; every prior value is preserved in the external correction log.","PUBLICATION DATE UNVERIFIED: worklist field empty; 2026-04 inferred from an April 29, 2026 date in the PDF and the companion blog (2026-06-04).  TODO severity ensemble + Channel A/B/C.

[CHANNEL B SEARCH LOG — moved from evidence 2026-08-15]
Channel B battery run 2026-08-15. UK: Hansard API (Commons + Lords), exact-phrase verified against ContributionTextFull; gov.uk and NCSC site-restricted search. US: Federal Register API (exact phrase), congress.gov / nist.gov / commerce.gov / whitehouse.gov site-restricted search (Congress.gov API requires a key not held). International: International AI Safety Report 2026 (3 Feb 2026, backed by 30+ governments) full-text checked for this evaluator and finding. No official government source references this finding. Recorded invalidations: Federal Register exact-phrase hits for 'METR' (Medicare rules), 'Scale AI' ('Content at Scale AI', a company name) and 'RAND Europe' (air-quality and fuel-economy rules) are substring or unrelated-entity matches, not policy uptake. Hansard hits for 'METR' (marginal effective tax rate) and 'Scale AI' ('scale AI capabilities') are likewise not references to the evaluator.

[CHANNEL C SEARCH 2026-08-15]
Exact report-title, evaluator + finding, media/news, academic-discovery, and public-discussion searches. No qualifying independent, finding-specific media, academic-citation count, or notable public discussion located within the finding-to-cutoff window; source paper and developer/evaluator self-publicity excluded.

[ACADEMIC CITATION AUDIT 2026-08-15]
Exact-title Google Scholar search completed. Matched “DrugDiscoveryBench: Can Coding Agents Assist Early-Stage Drug Discovery?” (exact-title record); recorded 0 citations. Similar-title records and duplicate citation-only clusters were not added.  [CHANNEL B LOG BACKFILLED 2026-08-16] Existing 'No policy uptake identified' confirmed by a three-jurisdiction sweep; see Channel B Evidence.  [ID FIX 2026-08-16] Report ID 'SCALEAI-2026-06b' -> 'SCALEAI-2026-06-DRUGDISCOVERY': the same report carried two IDs across the merged halves (identical title and publication date, different hosting URL). Unified under one ID per §6. Finding ID unchanged.  [RE-TIER 2026-08-16] Tier A -> B. (1) empirical: YES. (2) named models: YES (Claude Opus 4.8, Claude Sonnet 4.6). (3) concerning result with a reasonable company response: NO - the finding is OVER-refusal on routine analyses of already-published data, which Scale AI itself characterises as 'a capability gap rather than a safety boundary'. No dangerous threshold is crossed, so §4 condition (3) excludes it. -> Tier B (was Tier A). This was the v11 side of the cross-half tier conflict. Tier-A-only codings cleared and preserved here: Action Level=None; Attribution=Not applicable; Policy Level=No policy uptake identified; Proportionality=Accountability gap (no action).

[SCHEMA RESTORATION 2026-08-16] Tier B Channel A/B evidence restored for archival/descriptive use. Attribution, Action Level, Policy Level, and Proportionality remain blank and these rows remain excluded from headline accountability analysis.",Document restoration and analytical exclusion
evidence-restoration,SGAISI-2026-06-ALI1,Channel A Verbatim,,No model achieved 100% correct and safe; best fully-correct-and-safe rate 15.0%-58.3%; agents leak sensitive data despite explicit guidelines; 5 leakage risk categories identified,Restore Tier B evidence for archival/descriptive use; excluded from Tier-A headline analysis
evidence-restoration,SGAISI-2026-06-ALI1,Channel A Evidence,,Quantitative results across 660 total runs (110 per model per evaluator) confirm systematic alignment failures under normal (non-adversarial) enterprise task conditions,Restore Tier B evidence for archival/descriptive use; excluded from Tier-A headline analysis
evidence-restoration,SGAISI-2026-06-ALI1,Sources Checked (channel A),,"model card, blog, release notes, news search -- 2026-06-28",Restore Tier B evidence for archival/descriptive use; excluded from Tier-A headline analysis
evidence-restoration,SGAISI-2026-06-ALI1,Policy Response,,No binding policy response; findings contribute to the AISI International Network's agentic safety evaluation methodology development,Restore Tier B evidence for archival/descriptive use; excluded from Tier-A headline analysis
evidence-restoration,SGAISI-2026-06-ALI1,Channel B Verbatim,,No company-specific response documented in report; models anonymized as A/B/C; no post-report remediation described,Restore Tier B evidence for archival/descriptive use; excluded from Tier-A headline analysis
evidence-restoration,SGAISI-2026-06-ALI1,Channel B Evidence,,Models were anonymized to prevent preferential treatment; no documented model-developer response to specific findings,Restore Tier B evidence for archival/descriptive use; excluded from Tier-A headline analysis
note-update,SGAISI-2026-06-ALI1,Notes,"[V10 TIER RECLASSIFICATION — 2026-08-15] Tier B→B; subject=model behavior/capability; empirical=Yes; named-system=No; accountable-developer=No; developer=not identified; concerning=Yes; frontier-relevant=Unclear; response-reasonable=No; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory; exclusion-reason=no specific named model/system; no identifiable accountable developer; frontier relevance cannot be established from row evidence. Rationale: Empirical result retained, but not accountability-eligible: no specific named model/system; no identifiable accountable developer; frontier relevance cannot be established from row evidence. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier B reclassification] Channel A Verbatim: No model achieved 100% correct and safe; best fully-correct-and-safe rate 15.0%-58.3%; agents leak sensitive data despite explicit guidelines; 5 leakage risk categories identified | Channel A Evidence: Quantitative results across 660 total runs (110 per model per evaluator) confirm systematic alignment failures under normal (non-adversarial) enterprise task conditions | Sources Checked (channel A): model card, blog, release notes, news search -- 2026-06-28 | Policy Response: No binding policy response; findings contribute to the AISI International Network's agentic safety evaluation methodology development | Channel B Verbatim: No company-specific response documented in report; models anonymized as A/B/C; no post-report remediation described | Channel B Evidence: Models were anonymized to prevent preferential treatment; no documented model-developer response to specific findings | Media Outlets: BABL AI (https://babl.ai/korea-and-singapore-test-ai-agents-for-data-leakage-in-realistic-workplace-scenario/) | Academic Citations: Semantic Scholar: 1 citations as of 2026-07-18 (https://api.semanticscholar.org/graph/v1/paper/arXiv:2606.17114?fields=title,citationCount) | Channel C Verbatim: Report released as joint SG-KR AISI publication and arXiv paper; no legislative or parliamentary reference; contributes to AISI network methodology for agentic safety discussions  [ID FIX 2026-08-16] Report ID 'SGAISI-KR-DataLeakage-Agents-2026' -> 'SGAISI-2026-06-DATALEAKAGEAGENTS': normalised to PREFIX-YYYY-MM[m][-slug] per §6 (month derived from this row's Publication Date; prefix and month-suffix case aligned with the rest of the corpus).

[SCHEMA CLEANUP 2026-08-16] Tier B Channel A/B and proportionality fields cleared from the active schema; every prior value is preserved in the external correction log.","[V10 TIER RECLASSIFICATION — 2026-08-15] Tier B→B; subject=model behavior/capability; empirical=Yes; named-system=No; accountable-developer=No; developer=not identified; concerning=Yes; frontier-relevant=Unclear; response-reasonable=No; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory; exclusion-reason=no specific named model/system; no identifiable accountable developer; frontier relevance cannot be established from row evidence. Rationale: Empirical result retained, but not accountability-eligible: no specific named model/system; no identifiable accountable developer; frontier relevance cannot be established from row evidence. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier B reclassification] Channel A Verbatim: No model achieved 100% correct and safe; best fully-correct-and-safe rate 15.0%-58.3%; agents leak sensitive data despite explicit guidelines; 5 leakage risk categories identified | Channel A Evidence: Quantitative results across 660 total runs (110 per model per evaluator) confirm systematic alignment failures under normal (non-adversarial) enterprise task conditions | Sources Checked (channel A): model card, blog, release notes, news search -- 2026-06-28 | Policy Response: No binding policy response; findings contribute to the AISI International Network's agentic safety evaluation methodology development | Channel B Verbatim: No company-specific response documented in report; models anonymized as A/B/C; no post-report remediation described | Channel B Evidence: Models were anonymized to prevent preferential treatment; no documented model-developer response to specific findings | Media Outlets: BABL AI (https://babl.ai/korea-and-singapore-test-ai-agents-for-data-leakage-in-realistic-workplace-scenario/) | Academic Citations: Semantic Scholar: 1 citations as of 2026-07-18 (https://api.semanticscholar.org/graph/v1/paper/arXiv:2606.17114?fields=title,citationCount) | Channel C Verbatim: Report released as joint SG-KR AISI publication and arXiv paper; no legislative or parliamentary reference; contributes to AISI network methodology for agentic safety discussions  [ID FIX 2026-08-16] Report ID 'SGAISI-KR-DataLeakage-Agents-2026' -> 'SGAISI-2026-06-DATALEAKAGEAGENTS': normalised to PREFIX-YYYY-MM[m][-slug] per §6 (month derived from this row's Publication Date; prefix and month-suffix case aligned with the rest of the corpus).

[SCHEMA RESTORATION 2026-08-16] Tier B Channel A/B evidence restored for archival/descriptive use. Attribution, Action Level, Policy Level, and Proportionality remain blank and these rows remain excluded from headline accountability analysis.",Document restoration and analytical exclusion
evidence-restoration,UKAISI-2026-06-ALI7,Sources Checked (channel A),,"Models anonymized (open-source 7B-70B, 108 model organisms) -- Trackable=no for lack of accountable company.",Restore Tier B evidence for archival/descriptive use; excluded from Tier-A headline analysis
note-update,UKAISI-2026-06-ALI7,Notes,"[V10 TIER RECLASSIFICATION — 2026-08-15] Tier B→B; subject=model behavior/capability; empirical=Yes; named-system=No; accountable-developer=No; developer=not identified; concerning=Yes; frontier-relevant=Unclear; response-reasonable=No; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory; exclusion-reason=no specific named model/system; no identifiable accountable developer; frontier relevance cannot be established from row evidence. Rationale: Empirical result retained, but not accountability-eligible: no specific named model/system; no identifiable accountable developer; frontier relevance cannot be established from row evidence. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier B reclassification] Sources Checked (channel A): Models anonymized (open-source 7B-70B, 108 model organisms) -- Trackable=no for lack of accountable company.

[SCHEMA CLEANUP 2026-08-16] Tier B Channel A/B and proportionality fields cleared from the active schema; every prior value is preserved in the external correction log.","[V10 TIER RECLASSIFICATION — 2026-08-15] Tier B→B; subject=model behavior/capability; empirical=Yes; named-system=No; accountable-developer=No; developer=not identified; concerning=Yes; frontier-relevant=Unclear; response-reasonable=No; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory; exclusion-reason=no specific named model/system; no identifiable accountable developer; frontier relevance cannot be established from row evidence. Rationale: Empirical result retained, but not accountability-eligible: no specific named model/system; no identifiable accountable developer; frontier relevance cannot be established from row evidence. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier B reclassification] Sources Checked (channel A): Models anonymized (open-source 7B-70B, 108 model organisms) -- Trackable=no for lack of accountable company.

[SCHEMA RESTORATION 2026-08-16] Tier B Channel A/B evidence restored for archival/descriptive use. Attribution, Action Level, Policy Level, and Proportionality remain blank and these rows remain excluded from headline accountability analysis.",Document restoration and analytical exclusion
evidence-restoration,UKAISI-2026-06-ALI1,Sources Checked (channel A),,"model card, blog, release notes, news search -- 2026-06-28",Restore Tier B evidence for archival/descriptive use; excluded from Tier-A headline analysis
note-update,UKAISI-2026-06-ALI1,Notes,"[Publication Date corrected 2026-08-02: was 2026-06-08, snapped to majority date 2026-05-29 within same Report ID.]

[V10 TIER RECLASSIFICATION — 2026-08-15] Tier B→B; subject=model behavior/capability; empirical=Yes; named-system=No; accountable-developer=No; developer=OpenAI; Anthropic; Google; concerning=Yes; frontier-relevant=Unclear; response-reasonable=No; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory; exclusion-reason=no specific named model/system; no identifiable accountable developer; frontier relevance cannot be established from row evidence. Rationale: Empirical result retained, but not accountability-eligible: no specific named model/system; no identifiable accountable developer; frontier relevance cannot be established from row evidence. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[SOURCE URL NORMALIZATION — 2026-08-16] Row-specific source preserved here: https://www.aisi.gov.uk/blog/realitytest-do-ai-systems-disclose-their-identity-when-asked. Active Source URL standardized to the full/canonical report source shared by Report ID.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier B reclassification] Sources Checked (channel A): model card, blog, release notes, news search -- 2026-06-28 | Channel C Verbatim: A single suppression instruction reduced AI identity disclosure rates to as low as 3% -- meaning AI systems can be trivially configured to deny being AI when asked. -- AISI RealityTest

[SCHEMA CLEANUP 2026-08-16] Tier B Channel A/B and proportionality fields cleared from the active schema; every prior value is preserved in the external correction log.","[Publication Date corrected 2026-08-02: was 2026-06-08, snapped to majority date 2026-05-29 within same Report ID.]

[V10 TIER RECLASSIFICATION — 2026-08-15] Tier B→B; subject=model behavior/capability; empirical=Yes; named-system=No; accountable-developer=No; developer=OpenAI; Anthropic; Google; concerning=Yes; frontier-relevant=Unclear; response-reasonable=No; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory; exclusion-reason=no specific named model/system; no identifiable accountable developer; frontier relevance cannot be established from row evidence. Rationale: Empirical result retained, but not accountability-eligible: no specific named model/system; no identifiable accountable developer; frontier relevance cannot be established from row evidence. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[SOURCE URL NORMALIZATION — 2026-08-16] Row-specific source preserved here: https://www.aisi.gov.uk/blog/realitytest-do-ai-systems-disclose-their-identity-when-asked. Active Source URL standardized to the full/canonical report source shared by Report ID.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier B reclassification] Sources Checked (channel A): model card, blog, release notes, news search -- 2026-06-28 | Channel C Verbatim: A single suppression instruction reduced AI identity disclosure rates to as low as 3% -- meaning AI systems can be trivially configured to deny being AI when asked. -- AISI RealityTest

[SCHEMA RESTORATION 2026-08-16] Tier B Channel A/B evidence restored for archival/descriptive use. Attribution, Action Level, Policy Level, and Proportionality remain blank and these rows remain excluded from headline accountability analysis.",Document restoration and analytical exclusion
evidence-restoration,UKAISI-2026-06-ALI2,Sources Checked (channel A),,"model card, blog, release notes, news search -- 2026-06-28",Restore Tier B evidence for archival/descriptive use; excluded from Tier-A headline analysis
note-update,UKAISI-2026-06-ALI2,Notes,"[V10 TIER RECLASSIFICATION — 2026-08-15] Tier B→B; subject=model behavior/capability; empirical=Yes; named-system=No; accountable-developer=No; developer=OpenAI; Anthropic; Google; concerning=Yes; frontier-relevant=Unclear; response-reasonable=No; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory; exclusion-reason=no specific named model/system; no identifiable accountable developer; frontier relevance cannot be established from row evidence. Rationale: Empirical result retained, but not accountability-eligible: no specific named model/system; no identifiable accountable developer; frontier relevance cannot be established from row evidence. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier B reclassification] Sources Checked (channel A): model card, blog, release notes, news search -- 2026-06-28 | Academic Citations: Semantic Scholar: 0 citations as of 2026-07-18 (https://api.semanticscholar.org/graph/v1/paper/arXiv:2606.00168?fields=title,citationCount)

[SCHEMA CLEANUP 2026-08-16] Tier B Channel A/B and proportionality fields cleared from the active schema; every prior value is preserved in the external correction log.","[V10 TIER RECLASSIFICATION — 2026-08-15] Tier B→B; subject=model behavior/capability; empirical=Yes; named-system=No; accountable-developer=No; developer=OpenAI; Anthropic; Google; concerning=Yes; frontier-relevant=Unclear; response-reasonable=No; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory; exclusion-reason=no specific named model/system; no identifiable accountable developer; frontier relevance cannot be established from row evidence. Rationale: Empirical result retained, but not accountability-eligible: no specific named model/system; no identifiable accountable developer; frontier relevance cannot be established from row evidence. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier B reclassification] Sources Checked (channel A): model card, blog, release notes, news search -- 2026-06-28 | Academic Citations: Semantic Scholar: 0 citations as of 2026-07-18 (https://api.semanticscholar.org/graph/v1/paper/arXiv:2606.00168?fields=title,citationCount)

[SCHEMA RESTORATION 2026-08-16] Tier B Channel A/B evidence restored for archival/descriptive use. Attribution, Action Level, Policy Level, and Proportionality remain blank and these rows remain excluded from headline accountability analysis.",Document restoration and analytical exclusion
